Month,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,11/1/2022,12/1/2022,1/1/2023,2/1/2023,3/1/2023,4/1/2023,5/1/2023,6/1/2023,7/1/2023,8/1/2023,9/1/2023,10/1/2023,11/1/2023,12/1/2023,1/1/2024,2/1/2024,3/1/2024,4/1/2024,5/1/2024,6/1/2024,7/1/2024,8/1/2024,9/1/2024,10/1/2024,11/1/2024,12/1/2024,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025
Average spot prices over the month,41.89,82.45,44.63,44.92,38.96,40.34,41.75,45.26,46.32,49.23,47.51,41.98,50.64,54.46,57.75,45.94,31.18,23.39,34.36,35.18,43.3,44.54,49.11,49.71,39.14,38.69,35.58,33.73,30.11,30.65,25.49,22.76,37.22,41.83,38.82,41.98,41.33,50.15,43.81,39.54,26.49,32.1,37.95,32.11,37.45,44.95,41.73,35.13,33.63,25.46,27.1,25.48,24.27,28.01,30.08,29.69,37.19,55.59,65.14,59.26,78,51.16,35.42,34.93,34.02,32.7,34.74,32.02,36.95,49.68,63.43,56.96,34.95,48.7,48.4,33.6,34.42,42.32,51.41,58.4,61.97,65.63,67.8,54.78,61.16,46.62,33.92,38.08,37.21,29.21,37.66,33.39,35.54,38.6,45.94,36.46,38.01,26.25,23.61,13.45,14.99,25.66,33.38,36.65,47.11,37.89,40.27,48.36,59.36,49.08,50.16,62.98,55.46,73.43,78.37,75.97,135.01,172.26,217.06,274.67,211.42,185.55,295.2,233.1,197.43,248.4,401.57,492.49,394.7,178.88,191.88,270.89,132.1,148.76,111.96,106.58,77.55,91.29,77.65,90.87,88.71,84.26,88.96,68.58,76.59,58.37,53.07,28.2,27.2,37.6,47.03,54.56,51.86,62.06,100.53,98.18,102.27,122.66,76.88,42.21,19.38,40.74,57.98,54.44
Arenh price,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
